RespondentID,Support Region,Current Role,Current Role Other,Time with company,Supervisor,Supervise supervisors,Location,Location (Other),Customer service,Technological innovation,Market Leadership,Reliability,Performance,Quality,Global presence,Reputation,Experience in industry,Expertise of people,Breadth and scale of offerings,Speed in delivery,Competitive pricing,Other,Q7. Other,What do you believe is the PRIMARY attribute that differentiates Exterran or makes us better than other companies in the industry?,Have you spoken with an Exterran customer or potential customer in the past 6 months?,Please tell us how strongly you agree or disagree with the following statement: I have the tools I need to talk about Exterran's advantages with customers and potential customers.,Talking points/messages,Print advertising,Video (mobile),PowerPoint Slides,Product brochures,Technical literature,Other,Reasons 1 Code,Reason 1 Translated,Reason 1 Code 1,Reason 1 Code 2,Reason 2 ,Reason 2 Translated,Reason 2 Code 1,Reason 2 Code 2,Reason 3,Reason 3 Translated,Reason 3 Code 1,Reason 3 Code 2,"In your experience, What do customers most frequently tell you is the main reason that they choose Exterran over other providers?",Otherpleasespecify_B,"In your opinion, If a customer does not choose Exterran, what is the main reason they are likely to choose another provider?",Q14 Translated,Q14 Code 1,Q14 Code 2,Q14 Code 3
2093758060,Operations Services Group (OSG),Engineering,,1 to 5 years,Yes,Yes,Houston - Brittmoore,,Customer service,,,Reliability,Performance,Quality,Global presence,Reputation,Experience in industry,Expertise of people,Breadth and scale of offerings,,,,,Market leadership,Yes,Somewhat agree,Talking points/messages,,,,Product brochures,,,We have great products and services,,Quality,,We adapt to their needs,,"Innovative, Adaptive, Technological",,We stand behind everything we do,,Stand Behind Work/Integrity,,Quality,,Price and/or delivery,,Price,Delivery,
2090732292,North America (NA Region),Field Operations,,More than 10 years,No,,Houston - Brittmoore,,Customer service,Technological innovation,,,Performance,,,,Experience in industry,Expertise of people,,,,,,Market leadership,Yes,Somewhat agree,,,,,,Technical literature,,"I commit to doing what I say, Exterran will do it!",,Stand Behind Work/Integrity,,We will stand behind our product!,,Stand Behind Work/Integrity,,We smash more gas than any other compressor company!,,Best,,,We have helped the customer fix our problem.,"Clean, operator friendly, low ball, on thrill compressor.",,Price,Customer Service,
2090678035,North America (NA Region),Sales/Business Development,,More than 10 years,No,,"Dallas, TX",,Customer service,Technological innovation,,Reliability,,,,,,,Breadth and scale of offerings,,,,,Customer service,Yes,Strongly Agree,Talking points/messages,,,,,,,we provide solutions,,Service the product we manufacture,,we provide solutions,,Offers solutions to any problem,,we provide solutions,,Offers solutions to any problem,,,Exterran provides solutions,speed to market,,Delivery,,
2007956052,North America (NA Region),Corporate/Office/Administration,,1 to 5 years,Yes,Yes,Houston - Greenspoint North,,Customer service,,Market Leadership,,Performance,,,Reputation,Experience in industry,Expertise of people,Breadth and scale of offerings,Speed in delivery,,14,Safety performance,Reliability,Yes,Somewhat agree,,,Video (mobile),,Product brochures,,,our capabilities,,Range of capabilities,,our timeliness,,Timely delivery,,we provide a safe and environmentally conscious product,,Safety,,Breadth of offering,,Competitor has newer product line.,,Better equipment,,
20076616,North America (NA Region),Field Operations,,More than 10 years,Yes,No,"Evanston, WY",,Customer service,,,,,,,,,,,Speed in delivery,,,,Market leadership,Yes,Somewhat disagree,,,Video (mobile),,Product brochures,Technical literature,,We are local,,Global support,,We have man power in the area,,Global support,,We provide 98% run time guaranteed,,Timely delivery,,Breadth of offering,,"Pricing, better looking equipment, better options and newer technology",,Price,Better equipment,
2007278778,All regions/functions (executive),Corporate/Office/Administration,Credit and Collections,1 to 5 years,Yes,Yes,Houston - Greenspoint North,,,,Market Leadership,,Performance,,,,,,Breadth and scale of offerings,,Competitive pricing,,,Competitive pricing,Yes,Somewhat agree,,,,,,,"Solid ""Order to Cash""  (O2C) Processes. Good invoicing on the front end",We are the Market Leader in the industry,,Best,,We have a significant Global Foot Print,,Global support,,We partner with our customers and suppliers,,Customer service focused,,Quality,,The customers that I speak to indicate that we are not easy to do business with.,,Customer Service,,
20098442,Eastern Hemisphere (EH Region),Engineering,IP Project Management,6 to 10 years,No,,Greenspoint South,Currently most of my time operating from DAFZA 4W office.,Customer service,,,,,Quality,Global presence,Reputation,Experience in industry,Expertise of people,Breadth and scale of offerings,,,,,Customer service,Yes,Somewhat agree,Talking points/messages,,Video (mobile),PowerPoint Slides,,,,We do what we can do the best - industry experience,,Experience/industry knowledge,,We stand behind our products and services - customer service,,Stand Behind Work/Integrity,,We offer wide variety of integrated solutions under one umbrella,,Range of capabilities,Offers solutions to any problem,Experienced workforce,,In today's market it's the Price and Speed.,,Price,Delivery,
20085657,North America (NA Region),Field Operations,,More than 10 years,Yes,No,Houston - Brittmoore,,,,,,,,,,,,Breadth and scale of offerings,,,,,Customer service,Yes,Somewhat agree,,,,,Product brochures,,,We have people and resourses close to you,,Global support,,We are constantly improving,,"Innovative, Adaptive, Technological",,We offer more products and expertise than other companys,,Range of capabilities,Technical experts,,Service techs,Reputation of servce techs in area,,Reputation,,
2090676620,North America (NA Region),Fabrication/Shop,,More than 10 years,Yes,No,"Houma, LA",,Customer service,,,Reliability,Performance,Quality,,Reputation,,,,Speed in delivery,,,,Market leadership,Yes,Somewhat agree,,,,,Product brochures,,,We have a good safety record.,,Safety,,We meet the customer deadline for delivery.,,Timely delivery,,We help solve the problem of what caused the failure.,,Offers solutions to any problem,,Quality,,They might have had a bad experience at another Exterran facility. Also we may not have had a crew to send them to perform the work.,,Poor previous experience with Exterran,,
2090695900,Eastern Hemisphere (EH Region),Sales/Business Development,,1 to 5 years,No,,Nigeria,,Customer service,Technological innovation,Market Leadership,,,Quality,,Reputation,,Expertise of people,,,,,,Global presence,Yes,Strongly Agree,Talking points/messages,Print advertising,Video (mobile),PowerPoint Slides,Product brochures,Technical literature,,We do it right the first time thereby save cost of return jobs,,Quality,,The quality of our service is second to none,,Quality,,We have the trained local and foreign man power needed for the jobs,,Vast resources,,Experienced workforce,,"Lower pricing of goods and services, kick back and tips,",,Price,,
2009574057,North America (NA Region),Field Operations,,Less than 1 year,No,,"Fort Worth, TX",,Customer service,Technological innovation,,Reliability,Performance,Quality,,Reputation,Experience in industry,Expertise of people,Breadth and scale of offerings,Speed in delivery,,,,Expertise of people,Yes,Somewhat disagree,,,Video (mobile),PowerPoint Slides,Product brochures,Technical literature,,We can do anything needed,,Range of capabilities,,we have the training and experinenced people to do the job,,Experience/industry knowledge,,we have the tools and people placed for quick response time,,Timely delivery,Vast resources,Technical competence,,pricing,,Price,,
2008577875,North America (NA Region),Field Operations,,More than 10 years,Yes,Yes,"Lakewood, NY",,Customer service,,,Reliability,Performance,,,Reputation,Experience in industry,Expertise of people,Breadth and scale of offerings,Speed in delivery,,,,Global presence,Yes,Somewhat agree,Talking points/messages,,Video (mobile),PowerPoint Slides,Product brochures,Technical literature,,We have the technical expertise,,Well-trained/qualified personnel,,We have the products,,Range of products,,We have the local service support,,Global support,,Quality,,Price/availability regarding compression packaes,,Price,Availability,
2096364007,North America (NA Region),Field Operations,,6 to 10 years,No,,"Houma, LA",,Customer service,,,,,,Global presence,,Experience in industry,Expertise of people,Breadth and scale of offerings,,,,,Market leadership,Yes,Strongly Agree,Talking points/messages,,,,,,,We have personalized our customer service.,,Customer service focused,,We will go the extra mile to keep equipment up and running.,,Always get job done/Reliable,,We have the knowledge to handle our customers demands.,,Experience/industry knowledge,,Quality,,Internal ties with competition.,,Previous Relationship with Competitor,,
2112116448,North America (NA Region),Field Operations,,1 to 5 years,No,,"Wexford, PA",,,,,Reliability,,,,,,,,,,,,Quality,Yes,Somewhat disagree,,,,,,,Training courses,We are reliable,,Always get job done/Reliable,,We have the experience,,Experience/industry knowledge,,We have the knowledge,,Experience/industry knowledge,,Experienced workforce,,Price,,Price,,
2009329766,North America (NA Region),Field Operations,,1 to 5 years,No,,"Wexford, PA",,,,,,,,,,,Expertise of people,,,,,,Market leadership,Yes,Somewhat agree,,,,,,Technical literature,Technical training,We are always there when you need us,,Always get job done/Reliable,,We go above and beyond our duties,,Always get job done/Reliable,,We have the expierence and knowledge,,Experience/industry knowledge,,Experienced workforce,,price,,Price,,
2008736383,Eastern Hemisphere (EH Region),Corporate/Office/Administration,Project Management,1 to 5 years,Yes,No,UAE,,Customer service,,,,Performance,,Global presence,,Experience in industry,Expertise of people,,Speed in delivery,,,,Technological innovatin,Yes,Somewhat agree,,,,PowerPoint Slides,Product brochures,Technical literature,,we can delivery a quality product quickly,,Quality,Timely delivery,We have substantial experience in the location,,Experience/industry knowledge,,We have the experts to support design and quality,,Technical experts,,Price,,Price / Reputation,,Price,Reputation,
2007207508,North America (NA Region),Field Operations,,6 to 10 years,No,,"Bridgeport, TX",,Customer service,,,Reliability,Performance,Quality,,Reputation,Experience in industry,,,,,,,Technological innovatin,Yes,Somewhat agree,,,,,Product brochures,,,We are the largest NG compression company,,Large company,,We have a large selection of products,,Range of products,,We have the expertese to handle most situations,,Technical experts,,Experienced workforce,,Price,,Price,,
2007227873,North America (NA Region),Field Operations,,1 to 5 years,Yes,Yes,"Broken Arrow, OK",,,,,,Performance,Quality,,,,Expertise of people,,,,,,Technological innovatin,Yes,Somewhat agree,Talking points/messages,,Video (mobile),,Product brochures,,,our equipment out performs our competitors,,Better equipment,,of outstanding customer service,,Customer service focused,,we have the best associates,,Technical experts,,,because the other provider is booked and take another order,Delivery and slow response time,,Price,Delivery,
2007208681,North America (NA Region),Sales/Business Development,,More than 10 years,No,,"Gaylord, MI",,,,,,,,,,,,,,,14,our people,Quality,Yes,Strongly Agree,,,,,,Technical literature,,Our people care,,Customer service focused,,We are a big company that acts small,,Large company,,We have support in all business lines,,Range of capabilities,,Experienced workforce,,"Price, Price and Price.  Customers in todays market are willingto pay less for less",,Price,,
