Location role supports,Primary Role,Primary Role (other),Time with company,Supervise one or more person,Supervise other supervisors,Location,Location (Other)
Operations Services Group (OSG),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Brittmoore,
North America (NA Region),Engineering,,1 to 5 years,No,,"Denver, CO",
North America (NA Region),Corporate/Office/Administration,,Less than 1 year,No,,"Gaylord, MI",
Eastern Hemisphere (EH Region),Corporate/Office/Administration,Project Management,1 to 5 years,No,,UAE,
North America (NA Region),Sales/Business Development,,More than 10 years,No,,"Broken Arrow, OK",
Corporate Services Group (CSG),Corporate/Office/Administration,,More than 10 years,No,,Houston - Greenspoint North,
Latin American (LA Region),Field Operations,,6 to 10 years,Yes,Yes,Mexico,
North America (NA Region),Sales/Business Development,,More than 10 years,No,,"Gaylord, MI",
North America (NA Region),Fabrication/Shop,,6 to 10 years,Yes,No,Houston - Brittmoore,
Corporate Services Group (CSG),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Greenspoint North,
North America (NA Region),Field Operations,,6 to 10 years,Yes,No,"Gillette, WY",
North America (NA Region),Fabrication/Shop,,6 to 10 years,Yes,No,"Brenham, TX",
Corporate Services Group (CSG),Corporate/Office/Administration,,1 to 5 years,No,,Houston - Greenspoint North,
North America (NA Region),Corporate/Office/Administration,,6 to 10 years,No,,Houston - Greenspoint North,
North America (NA Region),Field Operations,Supply Chain,1 to 5 years,Yes,Yes,"Farmington, NM",
Eastern Hemisphere (EH Region),Sales/Business Development,,More than 10 years,No,,"Broken Arrow, OK",
North America (NA Region),Corporate/Office/Administration,,6 to 10 years,Yes,No,"Pocola, OK",
North America (NA Region),Sales/Business Development,Contracts Management,Less than 1 year,No,,Greenspoint South,
North America (NA Region),Engineering,,1 to 5 years,No,,Houston - Brittmoore,
North America (NA Region),Engineering,,6 to 10 years,No,,"Broken Arrow, OK",
North America (NA Region),Sales/Business Development,,Less than 1 year,No,,Greenspoint South,
North America (NA Region),Field Operations,,1 to 5 years,No,,Canada,
Eastern Hemisphere (EH Region),Engineering,,1 to 5 years,No,,Nigeria,
North America (NA Region),Corporate/Office/Administration,,1 to 5 years,No,,Greenspoint South,
Latin American (LA Region),Field Operations,,More than 10 years,No,,Argentina,
North America (NA Region),Field Operations,,More than 10 years,Yes,Yes,"Belle Chasse, LA",
