name,url,park,park_url,opened,type,height,length,inversions,speed,duration,longitude,latitude,country
Latin American (LA Region),Field Operations,0,1 to 5 years,Yes,No,Bolivia,1 to 5 years,Field Operations,1 to 5 years,Latin American (LA Region),,0,0
Latin American (LA Region),Field Operations,0,6 to 10 years,No,0,Argentina,6 to 10 years,Field Operations,6 to 10 years,Latin American (LA Region),,0,0
North America (NA Region),Sales/Business Development,0,6 to 10 years,No,0,Greenspoint South,6 to 10 years,Sales/Business Development,6 to 10 years,North America (NA Region),,0,0
North America (NA Region),Engineering,0,1 to 5 years,No,0,Greenspoint South,1 to 5 years,Engineering,1 to 5 years,North America (NA Region),,0,0
All regions/functions (executive),Corporate/Office/Administration,0,6 to 10 years,No,0,Houston - Greenspoint North,6 to 10 years,Corporate/Office/Administration,6 to 10 years,All regions/functions (executive),,0,0
Eastern Hemisphere (EH Region),Corporate/Office/Administration,0,1 to 5 years,Yes,No,United Kingdom,1 to 5 years,Corporate/Office/Administration,1 to 5 years,Eastern Hemisphere (EH Region),,0,0
Latin American (LA Region),Corporate/Office/Administration,0,1 to 5 years,No,0,Brazil,1 to 5 years,Corporate/Office/Administration,1 to 5 years,Latin American (LA Region),,0,0
Eastern Hemisphere (EH Region),Corporate/Office/Administration,0,1 to 5 years,No,0,United Kingdom,1 to 5 years,Corporate/Office/Administration,1 to 5 years,Eastern Hemisphere (EH Region),,0,0
Operations Services Group (OSG),Engineering,0,1 to 5 years,No,0,Houston - Brittmoore,1 to 5 years,Engineering,1 to 5 years,Operations Services Group (OSG),,0,0
Latin American (LA Region),Engineering,International Fleet Services - Revamps,6 to 10 years,No,0,Houston - Brittmoore,6 to 10 years,Engineering,6 to 10 years,Latin American (LA Region),,0,0
North America (NA Region),Engineering,0,6 to 10 years,No,0,Broken Arrow  OK,6 to 10 years,Engineering,6 to 10 years,North America (NA Region),,0,0
